SMILES,ID,target_class,MW,XLogP
CC(C)(C)NC(=O)C(c1ccccn1)N(C2CCCC2)C(=O)c3ccc4c(c3)OCCO4,1488752,gpcr,437.53,3.75
CC([C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)Cc3ccccc3)Cc4c[nH]c5c4cccc5)CCc6ccccc6)Cc7ccccc7)O,312781,gpcr,839.98,4.67
Cc1c(c(on1)NS(=O)(=O)c2ccsc2C(=O)N)Br,297107,gpcr,366.21,0.98
CC1CCN(CC1)CCOc2cc(ccc2OC)N3CCC(C3=O)(C)c4ccc(c(c4)Cl)Cl,212769,gpcr,491.45,6.84
C[C@H]1[C@H](Oc2ccccc2O1)CNCCOc3c(cccc3OC)OC,289428,gpcr,359.42,3.08
CN1CCC2(CC1)C/C(=N/O)/CO2,38540,gpcr,184.24,0.43
CC(C)S(=O)(=O)Nc1ccc2c(c1)CCN(CC2)Cc3cc[nH]n3,1080047,gpcr,348.46,2.73
COc1ccccc1N2CCN(CC2)Cc3ccn(c3)c4ccccc4,28321,gpcr,347.45,4.4
CC(C)C(=O)Nc1cc(c(cc1Cl)C(=O)N[C@H]2CCN(C2)Cc3ccccc3)OC,93021,gpcr,429.94,4.0
CN(C)CCc1c[nH]c2c1ccc(c2)SC,417480,gpcr,234.36,3.44
CN1CC[C@]23Cc4c(c5ccccc5[nH]4)C[C@H]2[C@H]1Cc6c3cc(cc6)O,226114,gpcr,344.45,4.87
c1ccc(cc1)C(CNc2c3nn(c(=O)n3c4ccccc4n2)c5ccccc5)c6ccccc6,16010,gpcr,457.53,5.51
C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@@]45[C@H]3CC[C@@H]4C(=O)N(C5)C)NC,488209,gpcr,342.52,3.63
CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)CN[C@@H]3CCCN4[C@@H]3CC(=O)N(C4=O)Cc5ccccc5,343560,gpcr,545.67,5.6
CCCC(CNCCCCCCNCC(CCC)CN1C(=O)c2ccccc2C1=O)CN3C(=O)c4ccccc4C3=O.Br.Br,195078,gpcr,736.58,9.19
c1cc2c3c(cnn3c1)CC(C2)N,433233,gpcr,173.21,1.25
c1cc(ccc1c2cc[n+](cc2)CCCC(=O)c3ccc(cc3)F)Cl,1269,gpcr,354.83,6.82
CCc1cc(ccc1OCC(CNCCNC(=O)Cc2ccccc2)O)NC(=O)CC,118401,gpcr,427.54,2.57
CCC(=O)NCC1Cc2cccc(c2C1)OC,338480,gpcr,233.31,2.41
CC(C)(C)CN1CCc2c(c(nc3c2c(n[nH]3)N)N4CCCCC4)C1,1096819,gpcr,342.48,3.67
c1cc(cc(c1)[N+](=O)[O-])N2CCNCC2,267153,gpcr,207.23,0.96
CCCCN1C(=O)C2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4S(=O)(=O)NC(C)(C)C,88131,gpcr,511.68,5.41
Cc1c(c2cccc(c2n1CCN3CCCCC3)OC)C(=O)NC4C(C5CCC4(C5)C)(C)C,311991,gpcr,451.64,5.64
CCCn1c2c(c(nc(n2)C)N3CCN(CC3)Cc4nc(cc(n4)OC)OC)nc1c5ccc(cc5)F,1477870,gpcr,506.58,4.81
CC(C)(C)OC(=O)Nc1ccc(cc1)c2cc(on2)/C=C\3/CN4CCC3C4,329740,gpcr,367.44,3.22
CCC(C)CCOc1c(nsn1)C2=CCCN(C2)C,1183636,gpcr,281.42,2.95
c1cc(cnc1)/C=N/Nc2nc(c3c(n2)n(cn3)C4[C@@H]([C@@H]([C@H](O4)CO)O)O)N,608447,gpcr,386.37,-1.42
CCN(CC)C(=O)CN1c2ccccc2C(=N[C@H](C1=O)NC(=O)Nc3cccc(c3)C)c4cccc[n+]4C,1183721,gpcr,513.61,4.37
c1ccc2c(c1)cccc2S(=O)(=O)n3c4cc(ccc4cn3)NC(=O)C5CCCNC5,520129,gpcr,434.51,4.21
CC1([C@@H]2CC[C@]1(CC2)CN(C)CCN3CCN(C3=O)c4cccc(c4)OC)C,563435,gpcr,385.54,3.66
CCc1cc2c(c(n1)CC)CCC(=O)N2Cc3ccc(cc3)c4ccccc4c5n[nH]nn5,159096,gpcr,438.52,5.61
CCCCCCCOc1c(nsn1)C2=CCCN(C2)C.C(=O)(C(=O)O)O,76161,gpcr,385.48,2.03
c1ccc2c(c1)c(ccn2)Nc3cc(c(c(c3)CN4CCCC4)O)CN5CCCC5,167969,gpcr,402.53,4.17
Cc1cc(cc(c1)COC\2C3CCN(/C2=C/c4ccccc4)CC3)C,435564,gpcr,333.47,5.32
CC1=C(C(C(=C(N1)C)C#N)C2=CC=CN(C2)C(=O)OC)C#N,349549,gpcr,296.32,1.7
CNC(=O)c1cccc(c1)c2ccc(cc2)C(=O)NCCCCN3CCc4ccc(cc4C3)OS(=O)(=O)C(F)(F)F,52724,gpcr,589.63,5.65
COc1ccc(c(c1)OC)CNc2ccnc(n2)c3cccc(c3)C#N,1315083,gpcr,346.38,3.53
CCCc1c(ccc2c1O[C@H](CC2)CCC(=O)O)OCCCOc3ccc(c(c3CC4CC4)OC)C(=O)NC,167669,gpcr,539.66,5.7
CC(C)c1nc2c(c3n1nc(c3)c4ccccc4)c(nn(c2=O)Cc5ccccc5)c6ccccc6,1277391,gpcr,471.55,6.18
CCn1c([n+](c2c1nc3ccccc3n2)CC)/C=C/C=C/4\C(c5ccccc5N4CC)(C)C.[Cl-],48734,gpcr,474.04,9.68
c1ccc(cc1)c2ccn(c(=O)c2)c3ccc4c(c3)cnn4CCN5CCCC5,1289717,gpcr,384.47,3.73
